Station,Uld Type,Carrier Code,Content Code,Sum Balance,Average Balance,Rolling SD Average,Slope,Total Uld In,Total Uld Out,Amount of Flight In,Amount of Flight Out,Sum Flight In-Out,Amount of stationary chunks,Test Statistics,p-value,#Lags Used,Number of Observations,Critical Value(1%),Critical Value(5%),Critical Value(10%),Stationarity At 1% Critical Size,Stationarity At 5% Critical Size,Stationarity At 10% Critical Size
ADL,AKE,CX,C,,,,,0.6956521739130435,1.7826086956521738,0.6956521739130435,0.6086956521739131,1.3043478260869565,,-4.729059376468434,7.418785668152982e-05,0.0,23.0,-3.7529275211638033,-2.998499866852963,-2.6389669754253307,True,True,True
ADL,PMC,CX,C,15.478260869565217,1.6093685300207037,3.3587594265790113,-0.22450592885375492,46.43478260869565,30.956521739130434,18.08695652173913,15.347826086956522,33.43478260869565,2.0,-5.249106731833518,6.973871362154487e-06,2.0,207.0,-3.4623415245233145,-2.875606128263243,-2.574267439846904,True,True,True
AKL,AKE,CX,C,-18.0,-2.0695510297783026,1.5703131320533508,-0.033671631398904174,0.2608695652173913,17.608695652173914,0.2608695652173913,15.173913043478262,15.434782608695652,6.0,-4.057787219876689,0.001136385320257837,5.0,175.0,-3.4682803641749267,-2.8782017240816327,-2.5756525795918366,True,True,True
AKL,PMC,CX,C,32.608695652173914,2.3260869565217384,4.798672848404306,-0.15535117056856187,94.04347826086956,61.43478260869565,38.869565217391305,30.782608695652176,69.65217391304348,1.0,-17.028344373663764,8.360112811485138e-30,0.0,314.0,-3.4513486122290717,-2.870789013306053,-2.5716978530569192,True,True,True
AMD,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
AMD,PMC,CX,C,,,,,2.0,0.0,1.0,0.0,1.0,,,,,,,,,,,
AMS,AKE,CX,C,24.333333333333332,3.2016594516594514,2.532616923774586,-0.4304906204906206,17.0,0.782608695652174,11.217391304347826,0.6521739130434783,11.869565217391305,3.0,-5.7383347532904265,6.361014424348879e-07,2.0,116.0,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,True,True,True
AMS,PMC,CX,C,21.391304347826086,1.5229335881509793,12.010550445140236,-0.057572861920688036,189.34782608695653,167.95652173913044,56.43478260869565,34.47826086956522,90.91304347826087,3.0,-7.58920327749248,2.5580381179870632e-11,2.0,311.0,-3.451552879535732,-2.8708786756338407,-2.571745666091128,True,True,True
ANC,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
ANC,PMC,CX,C,-1054.2222222222222,-170.89144620811288,247.31596116679137,-50.47195767195766,5.75,492.0,2.85,38.05,40.9,0.0,-8.998931003544659,6.577777955799817e-15,0.0,79.0,-3.5159766913976376,-2.898885703483903,-2.5866935058484217,True,True,True
ATL,AKE,CX,C,,,,,0.043478260869565216,0.0,0.043478260869565216,0.0,0.043478260869565216,,,,,,,,,,,
ATL,PMC,CX,C,423.04347826086956,43.7607315389924,55.44151055918981,-6.717267515093605,423.04347826086956,0.0,48.130434782608695,0.0,48.130434782608695,0.0,-13.872102746944329,6.436664836502854e-26,0.0,203.0,-3.462980134086401,-2.875885461947131,-2.5744164898444515,True,True,True
BAH,AKE,CX,C,,,,,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.13043478260869565,0.17391304347826086,,,,,,,,,,,
BAH,PMC,CX,C,30.695652173913043,2.4761267717789455,4.408796477166862,-0.15819542776064519,39.82608695652174,9.130434782608695,22.47826086956522,6.391304347826087,28.869565217391305,0.0,-17.023305823630178,8.426480033511507e-30,0.0,277.0,-3.4541800885158525,-2.872031361137725,-2.5723603999791473,True,True,True
BCN,AKE,CX,C,,,,,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,,,,,,,,,,,
